address,points,boost
0xF09EAA57B9AddecE68c83EBC61cC71AA4C51668C,352.47,0.375
0x7FFD92F0595459F3c2F69333CdE957aA490b6993,352.11,0.1
0xcc8E8e5755Ab021DeE115455041c676c1d1DEED1,349.12,0.1
0x169e43f05013e315f66A346B9511E2Af8D34CC19,348.77,0.375
0x04970108b505AbF8F2b5A045F464C30F11077232,348.39,0.1
0xb8E65d084a33dc92C33A521b3Efc027429de6469,346.47,0.1
0x33CF30C93C8BF38601a25D41097A764d5066Ccfc,346.37,0.375
0x044546b91B5fd58537203B44838428B22820d39f,343.51,0.1
0x23F7491D4ef3b2169b2f88A17A00686701daa642,332.6,0
0xf8AB3Ce6B653B98a6E527a4fDDcE5CA9048Ea942,332.55,0.375
0xA976Ff28999C63F6d80ebe4C142B147CEA55F666,332.2,0.1
0x01adA70bFEB0Aea068733e0CaC5D11bb4e77fA18,331.72,0.1
0xEB3134308caBe5E1d982652d225439628ffEDf7B,331.43,0.1
0x7BE6202042B591c2327562db6cb8558452e33939,329.18,0.1
0x3139a1A12c16E7dDc37901a78A882dE98184AE7d,327.46,0
0x19FE6226A068b59f990957072F8eee155c8650b4,323.68,0.375
0xee15C9eE870CAE309a2613A4cc7bF096aa2a2746,323.38,0.375
0x6F54882e50af194D679742aA9CED74077C02e55e,318.86,0.1
0xBDc688d4711b0a79e78566093DB342A3cBe71F0C,317.16,0.1
0xb2b8662842A76698d5F457d4f936B9B97139a4eF,316.55,0
0x1101d686D50a74f14989cc2A1B20370a5B6Efd4C,311.42,0.1
0x4b8a710c11E7FCE1b1DE36b9b76dFC28C16E6146,311.31,0.1
0xc104F7f61b09fEBf9a859473ff4C0Dc49B6DedF0,309.4,0
0xA607c8dC6E2927b790c7FE18E28f07D6B30fd628,307.68,0
